customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,external_id,name,email,segment,status,region,province,city,barangay,service_type,plan_type,notes
8779-QRDMV,Male,1,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,2220.4,2220.4,Yes,,,,SMB,At-Risk,Region XII (SOCCSKSARGEN),South Cotabato,Surallah,Centro,Fiber,Unlimited,
1680-VDCWW,Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),1108.8,11326.0,No,,,,SMB,Active,Region IX (Zamboanga Peninsula),Zamboanga del Sur,Ramon Magsaysay,West,Mobile,Postpaid,
1066-JKSGK,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,1128.3999999999999,1128.3999999999999,Yes,,,,Residential,Active,Region VII (Central Visayas),Bohol,San Miguel,Santo Nino,Wireless,Postpaid,
3638-WEABW,Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),3354.4,196285.6,No,,,,SMB,At-Risk,Cordillera Administrative Region (CAR),Benguet,Bakun,San Roque,DSL,Prepaid,
6322-HRPFA,Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),3337.6,166336.80000000002,No,,,,Startup,Active,Region XII (SOCCSKSARGEN),South Cotabato,Tupi,San Jose,Wireless,Unlimited,
6865-JZNKO,Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),3096.7999999999997,85713.59999999999,No,,,,Enterprise,At-Risk,Region XII (SOCCSKSARGEN),Sarangani,Glan,San Isidro,Mobile,Business,
6467-CHFZW,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,5563.599999999999,265952.39999999997,Yes,,,,Enterprise,Active,Region X (Northern Mindanao),Misamis Occidental,Baliangao,San Isidro,Mobile,Business,
8665-UTDHZ,Male,0,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,1691.2,1691.2,Yes,,,,SMB,At-Risk,Region V (Bicol Region),Camarines Norte,San Lorenzo Ruiz,West,Fiber,Business,
5248-YGIJN,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),5054.0,356689.2,No,,,,Residential,Active,Region XI (Davao Region),Davao del Sur,City of Digos,West,Wireless,Prepaid,
8773-HHUOZ,Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,3623.2000000000003,61213.59999999999,Yes,,,,SMB,At-Risk,Region I (Ilocos Region),Ilocos Sur,Lidlidda,Centro,Cable,Business,
3841-NFECX,Female,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),5395.599999999999,378949.2,No,,,,Startup,At-Risk,Cordillera Administrative Region (CAR),Benguet,Kapangan,Poblacion,Cable,Family,
4929-XIHVW,Male,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),5348.0,10172.4,No,,,,Enterprise,Active,Region X (Northern Mindanao),Misamis Oriental,Sugbongcogon,East,Fiber,Postpaid,
6827-IEAUQ,Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,3704.4000000000005,104969.2,No,,,,Residential,At-Risk,Cordillera Administrative Region (CAR),Mountain Province,Sagada,San Roque,DSL,Prepaid,
7310-EGVHZ,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),1131.2,1131.2,No,,,,SMB,Active,Region XIII (Caraga),Dinagat Islands,Cagdianao,San Roque,Wireless,Prepaid,
3413-BMNZE,Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),2534.0,2534.0,No,,,,Residential,Active,Region I (Ilocos Region),Ilocos Sur,Santa Maria,San Isidro,Wireless,Postpaid,
6234-RAAPL,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),5594.400000000001,406095.2,No,,,,Enterprise,Active,Region X (Northern Mindanao),Misamis Oriental,Naawan,Bagong Silang,DSL,Postpaid,
6047-YHPVI,Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,3903.2000000000003,17746.399999999998,Yes,,,,Residential,Active,Region VI (Western Visayas),Iloilo,Batad,Maligaya,Cable,Family,
6572-ADKRS,Female,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),4188.8,198704.80000000002,No,,,,SMB,At-Risk,Region XI (Davao Region),Davao Occidental,Sarangani,San Isidro,Mobile,Unlimited,
5380-WJKOV,Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,5955.599999999999,198758.0,Yes,,,,SMB,At-Risk,Region III (Central Luzon),Nueva Ecija,Carranglan,Santo Nino,DSL,Family,
8168-UQWWF,Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),5479.599999999999,61902.40000000001,Yes,,,,Residential,Active,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Tawi-Tawi,Sapa-Sapa,Poblacion,Wireless,Family,
8865-TNMNX,Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,2774.7999999999997,26639.2,No,,,,SMB,At-Risk,Region VI (Western Visayas),Aklan,Batan,San Jose,DSL,Family,
9489-DEDVP,Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),3875.2000000000003,272851.60000000003,No,,,,Residential,At-Risk,MIMAROPA Region,Oriental Mindoro,Pinamalayan,East,DSL,Prepaid,
9867-JCZSP,Female,0,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,1162.0,23422.0,No,,,,SMB,At-Risk,Region VI (Western Visayas),Aklan,Altavas,Bagong Silang,Fiber,Family,
4671-VJLCL,Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),4471.599999999999,272241.2,No,,,,SMB,Active,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Maguindanao del Norte,Parang,Poblacion,Mobile,Prepaid,
4080-IIARD,Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,4267.2,54961.200000000004,No,,,,Residential,At-Risk,Region VIII (Eastern Visayas),Southern Leyte,Tomas Oppus,San Jose,Cable,Postpaid,
3714-NTNFO,Female,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,4732.0,218775.19999999998,No,,,,Enterprise,At-Risk,Region VIII (Eastern Visayas),Eastern Samar,Lawaan,San Vicente,Fiber,Prepaid,
5948-UJZLF,Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,2758.0,5432.0,No,,,,SMB,At-Risk,Region III (Central Luzon),Bulacan,Bustos,San Juan,Cable,Prepaid,
7760-OYPDY,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,4516.400000000001,8072.400000000001,Yes,,,,Residential,At-Risk,Region X (Northern Mindanao),Camiguin,Mahinog,San Juan,Mobile,Business,
7639-LIAYI,Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),4466.0,236196.80000000002,No,,,,SMB,Active,Region V (Bicol Region),Camarines Norte,Paracale,Mabini,DSL,Postpaid,
2954-PIBKO,Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),3592.4000000000005,238229.60000000003,No,,,,Enterprise,At-Risk,MIMAROPA Region,Palawan,Dumaran,Santa Maria,Mobile,Family,
8012-SOUDQ,Female,1,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,5054.0,214970.0,No,,,,Enterprise,Active,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Tawi-Tawi,Panglima Sugala,San Isidro,DSL,Postpaid,
9420-LOJKX,Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),5549.599999999999,79878.40000000001,Yes,,,,Residential,At-Risk,Region II (Cagayan Valley),Quirino,Maddela,Mabini,DSL,Business,
6575-SUVOI,Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),3892.0,98148.40000000001,No,,,,SMB,At-Risk,MIMAROPA Region,Oriental Mindoro,Baco,Centro,Mobile,Unlimited,
7495-OOKFY,Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),4516.400000000001,35464.799999999996,Yes,,,,Residential,At-Risk,Region X (Northern Mindanao),Bukidnon,Cabanglasan,Bagong Silang,Wireless,Family,
4667-QONEA,Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),4191.599999999999,249555.60000000003,No,,,,SMB,Active,Region XIII (Caraga),Surigao del Norte,San Francisco,Bagong Silang,Cable,Family,
1658-BYGOY,Male,1,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,5345.2,98142.8,Yes,,,,Residential,At-Risk,Region X (Northern Mindanao),Misamis Occidental,Concepcion,Maligaya,Cable,Unlimited,
8769-KKTPH,Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),5580.400000000001,353427.2,No,,,,Startup,Active,Negros Island Region (NIR),Negros Occidental,City of Kabankalan,Bagong Silang,Cable,Business,
5067-XJQFU,Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,6073.2,396275.60000000003,No,,,,Enterprise,Active,Region XIII (Caraga),Surigao del Sur,Carmen,Santa Cruz,DSL,Unlimited,
3957-SQXML,Female,0,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),1397.2,50080.799999999996,No,,,,Residential,Active,Region V (Bicol Region),Sorsogon,Castilla,Santo Nino,Fiber,Postpaid,
5954-BDFSG,Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),6020.0,439807.2,No,,,,SMB,At-Risk,Region V (Bicol Region),Catanduanes,Viga,Santa Cruz,Cable,Business,
0434-CSFON,Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,5628.0,263597.60000000003,No,,,,Startup,Active,Region XII (SOCCSKSARGEN),Sarangani,Glan,San Jose,Mobile,Prepaid,
1215-FIGMP,Male,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),5034.400000000001,305239.2,No,,,,Residential,At-Risk,Region IV-A (CALABARZON),Rizal,Rodriguez,San Roque,Wireless,Postpaid,
0526-SXDJP,Male,0,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),2357.6,165872.0,No,,,,Startup,At-Risk,Region III (Central Luzon),Aurora,San Luis,Bagong Silang,Cable,Unlimited,
0557-ASKVU,Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),3046.4,53597.6,No,,,,Startup,Active,Region IV-A (CALABARZON),Quezon,Quezon,Santa Maria,Fiber,Family,
5698-BQJOH,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,5286.400000000001,48006.0,Yes,,,,Enterprise,At-Risk,Region VI (Western Visayas),Iloilo,Balasan,Maligaya,Fiber,Family,
5122-CYFXA,Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,4216.8,13669.6,No,,,,SMB,Active,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Basilan,Maluso,San Jose,Fiber,Business,
8627-ZYGSZ,Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,4418.400000000001,204419.6,No,,,,Startup,Active,Region I (Ilocos Region),Pangasinan,Mangatarem,Bagong Silang,Wireless,Business,
3410-YOQBQ,Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,4435.2,139843.19999999998,No,,,,Startup,Active,MIMAROPA Region,Palawan,Linapacan,Poblacion,Wireless,Business,
3170-NMYVV,Female,0,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),1128.3999999999999,52130.4,No,,,,SMB,At-Risk,Region VIII (Eastern Visayas),Northern Samar,Mondragon,Centro,Wireless,Unlimited,
7410-OIEDU,Male,0,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,4471.599999999999,49691.6,No,,,,Enterprise,At-Risk,Region V (Bicol Region),Camarines Sur,Pili,East,Mobile,Business,
2273-QCKXA,Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,2746.7999999999997,2746.7999999999997,No,,,,Residential,Active,Region IV-A (CALABARZON),Quezon,Dolores,Poblacion,Cable,Unlimited,
0731-EBJQB,Female,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,1142.3999999999999,61076.40000000001,No,,,,Startup,At-Risk,Region X (Northern Mindanao),Camiguin,Mambajao,San Juan,Mobile,Family,
1891-QRQSA,Male,1,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),6249.599999999999,397544.0,No,,,,Startup,At-Risk,MIMAROPA Region,Palawan,Dumaran,Bagong Silang,Cable,Family,
8028-PNXHQ,Male,0,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),1358.0,79777.59999999999,No,,,,Residential,Active,Region I (Ilocos Region),Pangasinan,Aguilar,San Roque,DSL,Postpaid,
5630-AHZIL,Female,0,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),3612.0,9934.4,No,,,,SMB,Active,National Capital Region (NCR),NCR,City of Muntinlupa,San Vicente,Mobile,Unlimited,
2673-CXQEU,Female,1,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,6188.0,343812.0,No,,,,Startup,At-Risk,Region III (Central Luzon),Pampanga,City of Angeles,San Isidro,Wireless,Postpaid,
6416-JNVRK,Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),3116.4,150575.6,No,,,,Residential,Active,Region VIII (Eastern Visayas),Leyte,Tanauan,San Isidro,Fiber,Family,
5590-ZSKRV,Female,0,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,3060.4,27006.0,No,,,,Residential,Active,Negros Island Region (NIR),Siquijor,Siquijor,Rizal,Cable,Postpaid,
0191-ZHSKZ,Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,4186.0,118232.80000000002,No,,,,Startup,At-Risk,Region II (Cagayan Valley),Isabela,City of Cauayan,San Roque,DSL,Unlimited,
3887-PBQAO,Female,0,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),1450.3999999999999,68129.59999999999,No,,,,Startup,At-Risk,Region I (Ilocos Region),La Union,Agoo,Centro,Cable,Prepaid,
5919-TMRGD,Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,4443.599999999999,4443.599999999999,Yes,,,,Startup,At-Risk,Region XI (Davao Region),Davao del Sur,Matanao,San Juan,Wireless,Family,
8108-UXRQN,Female,0,Yes,Yes,11,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,2830.7999999999997,31659.600000000002,No,,,,Enterprise,At-Risk,Region X (Northern Mindanao),Misamis Oriental,Initao,Bagong Silang,Fiber,Prepaid,
9191-MYQKX,Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),4208.400000000001,27826.399999999998,Yes,,,,Startup,At-Risk,Region V (Bicol Region),Catanduanes,Viga,Rizal,DSL,Prepaid,
9919-YLNNG,Female,0,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),5812.8,242340.0,No,,,,Enterprise,At-Risk,Region IV-A (CALABARZON),Quezon,Infanta,Mabini,DSL,Family,
0318-ZOPWS,Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),1128.3999999999999,54507.6,No,,,,Startup,At-Risk,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Basilan,Hadji Mohammad Ajul,San Vicente,Mobile,Postpaid,
4445-ZJNMU,Male,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),5560.8,51450.0,No,,,,Residential,At-Risk,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Calanogas,East,Cable,Prepaid,
4808-YNLEU,Female,0,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),3480.4,124065.19999999998,No,,,,Startup,At-Risk,Region V (Bicol Region),Catanduanes,Caramoran,Maligaya,Wireless,Family,
1862-QRWPE,Female,0,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),1156.3999999999999,59192.0,No,,,,Enterprise,At-Risk,Region X (Northern Mindanao),Misamis Oriental,Kinoguitan,Mabini,Cable,Family,
2796-NNUFI,Female,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,1117.2,51917.6,No,,,,SMB,Active,Region V (Bicol Region),Albay,Libon,Bagong Silang,Mobile,Unlimited,
3016-KSVCP,Male,0,Yes,No,29,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,1890.0,56518.0,No,,,,Enterprise,Active,MIMAROPA Region,Palawan,Coron,Maligaya,Mobile,Postpaid,
4767-HZZHQ,Male,0,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),4594.8,143931.19999999998,No,,,,Enterprise,Active,Region VIII (Eastern Visayas),Leyte,Julita,Poblacion,Wireless,Postpaid,
2424-WVHPL,Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,4183.2,4183.2,No,,,,Residential,At-Risk,Cordillera Administrative Region (CAR),Mountain Province,Natonin,San Jose,Cable,Prepaid,
7233-PAHHL,Male,0,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,4704.0,319998.0,No,,,,Enterprise,At-Risk,Region XII (SOCCSKSARGEN),Sarangani,Maasim,Bagong Silang,Fiber,Prepaid,
6067-NGCEU,Female,0,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),6218.8,397992.0,No,,,,Residential,Active,Region II (Cagayan Valley),Batanes,Mahatao,East,Mobile,Unlimited,
9848-JQJTX,Male,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),5650.400000000001,417706.8,No,,,,Startup,Active,Region III (Central Luzon),Aurora,Dingalan,Santa Cruz,Fiber,Prepaid,
8637-XJIVR,Female,0,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,4421.2,51931.6,Yes,,,,Startup,At-Risk,Region XIII (Caraga),Surigao del Sur,San Agustin,West,DSL,Unlimited,
9803-FTJCG,Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),3743.5999999999995,265927.2,No,,,,Residential,Active,Cordillera Administrative Region (CAR),Mountain Province,Bauko,San Vicente,Fiber,Family,
